Alpha,Beta,Group Fairness,Individual Fairness,Accuracy,Demographic Parity Difference,Equalized Odds Difference,Theil Index,Gini Coefficient,Train Time (s),Trained This Run
0.05,0.0,disparate_impact_difference,gini_coefficient,0.74,0.37,0.63,0.17,0.75,0.574,True
0.05,0.005,demographic_parity_difference,theil_index,0.69,0.26,0.45,0.22,0.83,0.573,True
0.05,0.005,demographic_parity_difference,generalized_entropy_index,0.77,0.27,1.0,0.14,0.72,0.578,True
0.05,0.005,demographic_parity_difference,atkinson_index,0.75,0.37,0.62,0.16,0.74,0.567,True
0.05,0.005,demographic_parity_difference,gini_coefficient,0.77,0.27,1.0,0.14,0.71,0.596,True
0.05,0.005,equalized_odds_difference,theil_index,0.69,0.28,0.46,0.22,0.81,1.221,True
0.05,0.005,equalized_odds_difference,generalized_entropy_index,0.79,0.25,1.0,0.12,0.67,1.224,True
0.05,0.005,equalized_odds_difference,atkinson_index,0.79,0.25,1.0,0.12,0.67,1.222,True
0.05,0.005,equalized_odds_difference,gini_coefficient,0.7,0.32,0.53,0.21,0.8,1.227,True
0.05,0.005,equal_opportunity_difference,theil_index,0.75,0.38,0.64,0.16,0.74,0.846,True
0.05,0.005,equal_opportunity_difference,generalized_entropy_index,0.78,0.29,1.0,0.13,0.69,0.85,True
0.05,0.005,equal_opportunity_difference,atkinson_index,0.74,0.67,1.0,0.17,0.75,0.847,True
0.05,0.005,equal_opportunity_difference,gini_coefficient,0.76,0.3,1.0,0.15,0.74,0.847,True
0.05,0.005,disparate_impact_difference,theil_index,0.71,0.31,0.52,0.2,0.8,0.573,True
0.05,0.005,disparate_impact_difference,generalized_entropy_index,0.79,0.28,1.0,0.13,0.69,0.599,True
0.05,0.005,disparate_impact_difference,atkinson_index,0.73,0.37,0.62,0.18,0.76,0.573,True
0.05,0.005,disparate_impact_difference,gini_coefficient,0.73,0.37,0.62,0.18,0.76,0.579,True
0.05,0.05,demographic_parity_difference,theil_index,0.73,0.35,0.59,0.18,0.77,0.577,True
0.05,0.05,demographic_parity_difference,generalized_entropy_index,0.78,0.42,0.71,0.13,0.69,0.578,True
0.05,0.05,demographic_parity_difference,atkinson_index,0.76,0.4,0.68,0.16,0.74,0.572,True
